LocationID,taxiName,mapName,Borough,xID,longitude,latitude
24,Bloomingdale,Upper West Side,Manhattan,http://nyc.pediacities.com/Resource/Neighborhood/Upper_West_Side,-88.0809,41.95753
25,Boerum Hill,Downtown Brooklyn,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/Downtown_Brooklyn,-73.98447,40.68487
26,Borough Park,Fort Hamilton,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/Fort_Hamilton,-73.9921,40.63503
27,Breezy Point/Fort Tilden/Riis Beach,Breezy Point,Queens,http://nyc.pediacities.com/Resource/Neighborhood/Breezy_Point,-73.89534,40.56164
28,Briarwood/Jamaica Hills,Briarwood,Queens,http://nyc.pediacities.com/Resource/Neighborhood/Briarwood,-73.81356,40.71093
29,Brighton Beach,Sea Gate,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/Sea_Gate,-73.95966,40.57807
30,Broad Channel,John F. Kennedy International Airport,Queens,http://nyc.pediacities.com/Resource/Neighborhood/John_F_Kennedy_International_Airport,-73.82132,40.61583
31,Bronx Park,Allerton,Bronx,http://nyc.pediacities.com/Resource/Neighborhood/Allerton,-73.87125,40.87233
32,Bronxdale,Van Nest,Bronx,http://nyc.pediacities.com/Resource/Neighborhood/Van Nest,-73.86026,40.86037
33,Brooklyn Heights,DUMBO,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/DUMBO,-73.99555,40.69593
34,Brooklyn Navy Yard,Navy Yard,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/Navy_Yard,-73.97186,40.70181
35,Brownsville,East Flatbush,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/East_Flatbush,-97.49748,25.90175
36,Bushwick North,Bushwick,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/Bushwick,-73.91706,40.69578
37,Bushwick South,Bushwick,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/Bushwick,-73.91706,40.69578
38,Cambria Heights,Cunningham Park,Queens,http://nyc.pediacities.com/Resource/Neighborhood/Cunningham_Park,-73.73308,40.69216
39,Canarsie,Bergen Beach,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/Bergen_Beach,-73.90606,40.64023
40,Carroll Gardens,Downtown Brooklyn,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/Downtown_Brooklyn,-73.99916,40.67953
41,Central Harlem,Harlem,Manhattan,http://nyc.pediacities.com/Resource/Neighborhood/Harlem,-73.94823,40.80894
42,Central Harlem North,Harlem,Manhattan,http://nyc.pediacities.com/Resource/Neighborhood/Harlem,-73.94648,40.81155
43,Central Park,Upper East Side,Manhattan,http://nyc.pediacities.com/Resource/Neighborhood/Upper_East_Side,-73.96536,40.78286
44,Charleston/Tottenville,Tottenville,Staten Island,http://nyc.pediacities.com/Resource/Neighborhood/Tottenville,-74.23033,40.53041
45,Chinatown,Little Italy,Manhattan,http://nyc.pediacities.com/Resource/Neighborhood/Little_Italy,-73.99703,40.71575
46,City Island,Allerton,Bronx,http://nyc.pediacities.com/Resource/Neighborhood/Allerton,-73.7875,40.84682
47,Claremont/Bathgate,Claremont Village,Bronx,http://nyc.pediacities.com/Resource/Neighborhood/Claremont_Village,-73.90175,40.83846
48,Clinton East,Hell's Kitchen,Manhattan,http://nyc.pediacities.com/Resource/Neighborhood/Hell_s_Kitchen,-83.62972,39.48784
49,Clinton Hill,Bedford-Stuyvesant,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/Bedford_Stuyvesant,-73.96611,40.68968
50,Clinton West,Hell's Kitchen,Manhattan,http://nyc.pediacities.com/Resource/Neighborhood/Hell_s_Kitchen,-96.01839,36.10382
51,Co-Op City,Co-op City,Bronx,NA,-73.82944,40.87389
